Season,Week,GameStatus,Day,Date,AwayTeam,AwayRecord,AwayScore,AwayWin,HomeTeam,HomeRecord,HomeScore,HomeWin,AwaySeeding,HomeSeeding,PostSeason
2025,Hall Of Fame,FINAL,THU,07/31,Chargers,1-0,34,1.0,Lions,0-1,7,0.0,,,0
2025,Preseason Week 1,FINAL,THU,08/07,Colts,0-1,16,0.0,Ravens,1-0,24,1.0,,,0
2025,Preseason Week 1,FINAL,THU,08/07,Bengals,0-1,27,0.0,Eagles,1-0,34,1.0,,,0
2025,Preseason Week 1,FINAL,THU,08/07,Raiders,0-0-1,23,0.0,Seahawks,0-0-1,23,0.0,,,0
2025,Preseason Week 1,FINAL,FRI,08/08,Lions,1-1,17,1.0,Falcons,0-1,10,0.0,,,0
2025,Preseason Week 1,FINAL,FRI,08/08,Browns,1-0,30,1.0,Panthers,0-1,10,0.0,,,0
2025,Preseason Week 1,FINAL,FRI,08/08,Commanders,0-1,18,0.0,Patriots,1-0,48,1.0,,,0
2025,Preseason Week 1,FINAL,SAT,08/09,Giants,1-0,34,1.0,Bills,0-1,25,0.0,,,0
2025,Preseason Week 1,FINAL,SAT,08/09,Texans,0-1,10,0.0,Vikings,1-0,20,1.0,,,0
2025,Preseason Week 1,FINAL,SAT,08/09,Steelers,1-0,31,1.0,Jaguars,0-1,25,0.0,,,0
2025,Preseason Week 1,FINAL,SAT,08/09,Cowboys,0-1,21,0.0,Rams,1-0,31,1.0,,,0
2025,Preseason Week 1,FINAL,SAT,08/09,Titans,0-1,7,0.0,Buccaneers,1-0,29,1.0,,,0
2025,Preseason Week 1,FINAL,SAT,08/09,Chiefs,0-1,17,0.0,Cardinals,1-0,20,1.0,,,0
2025,Preseason Week 1,FINAL,SAT,08/09,Jets,1-0,30,1.0,Packers,0-1,10,0.0,,,0
2025,Preseason Week 1,FINAL,SAT,08/09,Broncos,1-0,30,1.0,49ers,0-1,9,0.0,,,0
2025,Preseason Week 1,FINAL,SUN,08/10,Dolphins,0-0-1,24,0.0,Bears,0-0-1,24,0.0,,,0
2025,Preseason Week 1,FINAL,SUN,08/10,Saints,0-1,13,0.0,Chargers,2-0,27,1.0,,,0
2025,Preseason Week 2,FINAL,FRI,08/15,Titans,1-1,23,1.0,Falcons,0-2,20,0.0,,,0
2025,Preseason Week 2,FINAL,FRI,08/15,Chiefs,0-2,16,0.0,Seahawks,1-0-1,33,1.0,,,0
2025,Preseason Week 2,FINAL,SAT,08/16,Dolphins,1-0-1,24,1.0,Lions,1-2,17,0.0,,,0
2025,Preseason Week 2,FINAL,SAT,08/16,Panthers,0-2,3,0.0,Texans,1-1,20,1.0,,,0
2025,Preseason Week 2,FINAL,SAT,08/16,Packers,1-1,23,1.0,Colts,0-2,19,0.0,,,0
2025,Preseason Week 2,FINAL,SAT,08/16,Patriots,2-0,20,1.0,Vikings,1-1,12,0.0,,,0
