Season,Week,Day,Date,AwayTeam,HomeTeam,Quarter,DriveNumber,TeamWithPossession,IsScoringDrive,PlayNumberInDrive,IsScoringPlay,PlayOutcome,PlayStart,PlayTimeFormation,PlayDescription
2017,Divisional Playoffs,SAT,01/13,Falcons,Eagles,1st Quarter,1,Philadelphia Eagles,0,1,0,Kickoff from ATL 35,,Kickoff,— M.Bosher kicks 62 yards from ATL 35 to PHI 3. C.Clement to PHI 25 for 22 yards (L.Reynolds; K.Ishmael).
2017,Divisional Playoffs,SAT,01/13,Falcons,Eagles,1st Quarter,1,Philadelphia Eagles,0,2,0,42 Yard Penalty,1st & 10 at PHI 25,14:54 1st,"— N.Foles pass incomplete deep right to T.Smith. PENALTY on ATL-B.Poole, Defensive Pass Interference, 42 yards, enforced at PHI 25 - No Play."
2017,Divisional Playoffs,SAT,01/13,Falcons,Eagles,1st Quarter,1,Philadelphia Eagles,0,3,0,Fumble,1st & 10 at ATL 33,14:46 1st Shotgun,"— J.Ajayi up the middle to ATL 27 for 6 yards (R.Allen). FUMBLES (R.Allen), RECOVERED by ATL-K.Neal at ATL 26. K.Neal to ATL 26 for no gain (S.Wisniewski)."
2017,Divisional Playoffs,SAT,01/13,Falcons,Eagles,1st Quarter,2,Atlanta Falcons,1,1,0,12 Yard Pass,1st & 10 at ATL 26,14:36 1st,— M.Ryan pass short left to L.Toilolo to ATL 38 for 12 yards (R.Darby).
2017,Divisional Playoffs,SAT,01/13,Falcons,Eagles,1st Quarter,2,Atlanta Falcons,1,2,0,3 Yard Run,1st & 10 at ATL 38,13:59 1st,— D.Freeman right end to ATL 41 for 3 yards (F.Cox; V.Curry).
2017,Divisional Playoffs,SAT,01/13,Falcons,Eagles,1st Quarter,2,Atlanta Falcons,1,3,0,2 Yard Run,2nd & 7 at ATL 41,13:20 1st,— D.Freeman left end to ATL 43 for 2 yards (V.Curry).
2017,Divisional Playoffs,SAT,01/13,Falcons,Eagles,1st Quarter,2,Atlanta Falcons,1,4,0,17 Yard Pass,3rd & 5 at ATL 43,12:37 1st Shotgun,— M.Ryan pass short left to M.Sanu pushed ob at PHI 40 for 17 yards (R.McLeod).
2017,Divisional Playoffs,SAT,01/13,Falcons,Eagles,1st Quarter,2,Atlanta Falcons,1,5,0,6 Yard Pass,1st & 10 at PHI 40,12:06 1st,— M.Ryan pass short left to Ju.Jones pushed ob at PHI 34 for 6 yards (R.Darby).
2017,Divisional Playoffs,SAT,01/13,Falcons,Eagles,1st Quarter,2,Atlanta Falcons,1,6,0,5 Yard Run,2nd & 4 at PHI 34,11:40 1st,— T.Coleman right end ran ob at PHI 29 for 5 yards (R.McLeod).
2017,Divisional Playoffs,SAT,01/13,Falcons,Eagles,1st Quarter,2,Atlanta Falcons,1,7,0,12 Yard Run,1st & 10 at PHI 29,11:09 1st,— T.Coleman right end pushed ob at PHI 17 for 12 yards (M.Kendricks).
2017,Divisional Playoffs,SAT,01/13,Falcons,Eagles,1st Quarter,2,Atlanta Falcons,1,8,0,-1 Yard Run,1st & 10 at PHI 17,10:38 1st,— D.Freeman right end to PHI 18 for -1 yards (F.Cox).
