Season,Week,Day,Date,AwayTeam,HomeTeam,Quarter,DriveNumber,TeamWithPossession,IsScoringDrive,PlayNumberInDrive,IsScoringPlay,PlayOutcome,PlayStart,PlayTimeFormation,PlayDescription
2018,Conference Championships,SUN,01/20,Rams,Saints,1st Quarter,1,New Orleans Saints,1,1,0,Kickoff from LAR 35,,Kickoff,"— G.Zuerlein kicks 65 yards from LAR 35 to end zone, Touchback."
2018,Conference Championships,SUN,01/20,Rams,Saints,1st Quarter,1,New Orleans Saints,1,2,0,Pass Incomplete,1st & 10 at NO 25,15:00 1st Shotgun,— D.Brees pass incomplete short right.
2018,Conference Championships,SUN,01/20,Rams,Saints,1st Quarter,1,New Orleans Saints,1,3,0,2 Yard Run,2nd & 10 at NO 25,14:56 1st,— A.Kamara right guard to NO 27 for 2 yards (N.Suh).
2018,Conference Championships,SUN,01/20,Rams,Saints,1st Quarter,1,New Orleans Saints,1,4,0,9 Yard Pass,3rd & 8 at NO 27,14:16 1st Shotgun,"— D.Brees pass short left to T.Ginn to NO 36 for 9 yards (M.Peters). Pass 9, YAC 0"
2018,Conference Championships,SUN,01/20,Rams,Saints,1st Quarter,1,New Orleans Saints,1,5,0,9 Yard Run,1st & 10 at NO 36,13:44 1st Shotgun,"— M.Ingram right guard to NO 45 for 9 yards (J.Johnson, M.Barron)."
2018,Conference Championships,SUN,01/20,Rams,Saints,1st Quarter,1,New Orleans Saints,1,6,0,-2 Yard Run,2nd & 1 at NO 45,13:09 1st,"— M.Ingram right guard to NO 43 for -2 yards (D.Fowler, M.Peters)."
2018,Conference Championships,SUN,01/20,Rams,Saints,1st Quarter,1,New Orleans Saints,1,7,0,21 Yard Pass,3rd & 3 at NO 43,12:31 1st Shotgun,"— D.Brees pass short right to A.Kamara ran ob at LAR 36 for 21 yards (J.Franklin). Pass 13, YAC 8"
2018,Conference Championships,SUN,01/20,Rams,Saints,1st Quarter,1,New Orleans Saints,1,8,0,14 Yard Pass,1st & 10 at LAR 36,11:53 1st Shotgun,"— D.Brees pass short middle to A.Kamara to LAR 22 for 14 yards (M.Barron). Pass 8, YAC 6"
2018,Conference Championships,SUN,01/20,Rams,Saints,1st Quarter,1,New Orleans Saints,1,9,0,Pass Incomplete,1st & 10 at LAR 22,11:08 1st Shotgun,— D.Brees pass incomplete short left.
2018,Conference Championships,SUN,01/20,Rams,Saints,1st Quarter,1,New Orleans Saints,1,10,0,3 Yard Pass,2nd & 10 at LAR 22,11:02 1st Shotgun,"— D.Brees pass short right to M.Thomas to LAR 19 for 3 yards (A.Talib). Pass 2, YAC 1"
