Season,Week,Day,Date,AwayTeam,HomeTeam,Quarter,DriveNumber,TeamWithPossession,IsScoringDrive,PlayNumberInDrive,IsScoringPlay,PlayOutcome,PlayStart,PlayTimeFormation,PlayDescription
2018,Super Bowl,SUN,02/03,Patriots,Rams,1st Quarter,1,New England Patriots,0,1,0,Kickoff from LAR 35,,Kickoff,— G.Zuerlein kicks 64 yards from LAR 35 to NE 1. C.Patterson pushed ob at NE 39 for 38 yards (G.Zuerlein).
2018,Super Bowl,SUN,02/03,Patriots,Rams,1st Quarter,1,New England Patriots,0,2,0,13 Yard Run,1st & 10 at NE 39,14:55 1st,— S.Michel right tackle to LAR 48 for 13 yards (L.Joyner).
2018,Super Bowl,SUN,02/03,Patriots,Rams,1st Quarter,1,New England Patriots,0,3,0,6 Yard Run,1st & 10 at LAR 48,14:09 1st,"— C.Patterson left end to LAR 42 for 6 yards (J.Johnson, N.Robey)."
2018,Super Bowl,SUN,02/03,Patriots,Rams,1st Quarter,1,New England Patriots,0,4,0,5 Yard Run,2nd & 4 at LAR 42,13:31 1st,— S.Michel left tackle to LAR 37 for 5 yards (M.Peters).
2018,Super Bowl,SUN,02/03,Patriots,Rams,1st Quarter,1,New England Patriots,0,5,0,3 Yard Run,1st & 10 at LAR 37,12:52 1st,"— S.Michel right guard to LAR 34 for 3 yards (M.Brockers, A.Donald)."
2018,Super Bowl,SUN,02/03,Patriots,Rams,1st Quarter,1,New England Patriots,0,6,0,Interception,2nd & 7 at LAR 34,12:14 1st Shotgun,— T.Brady pass short right intended for C.Hogan INTERCEPTED by C.Littleton (N.Robey) at LAR 27. C.Littleton to LAR 27 for no gain (C.Hogan).
2018,Super Bowl,SUN,02/03,Patriots,Rams,1st Quarter,2,Los Angeles Rams,0,1,0,2 Yard Run,1st & 10 at LAR 27,12:06 1st,— T.Gurley left tackle to LAR 29 for 2 yards (T.Flowers).
2018,Super Bowl,SUN,02/03,Patriots,Rams,1st Quarter,2,Los Angeles Rams,0,2,0,Pass Incomplete,2nd & 8 at LAR 29,11:37 1st,— J.Goff pass incomplete short right.
2018,Super Bowl,SUN,02/03,Patriots,Rams,1st Quarter,2,Los Angeles Rams,0,3,0,Pass Incomplete,3rd & 8 at LAR 29,11:30 1st Shotgun,— J.Goff pass incomplete short left to J.Reynolds [A.Clayborn].
2018,Super Bowl,SUN,02/03,Patriots,Rams,1st Quarter,2,Los Angeles Rams,0,4,0,Punt,4th & 8 at LAR 29,11:25 1st,"— J.Hekker punts 54 yards to NE 17, Center-J.McQuaide. J.Edelman to NE 12 for -5 yards (S.Ebukam)."
