Season,Week,Day,Date,AwayTeam,HomeTeam,Quarter,DriveNumber,TeamWithPossession,IsScoringDrive,PlayNumberInDrive,IsScoringPlay,PlayOutcome,PlayStart,PlayTimeFormation,PlayDescription
2021,Super Bowl,SUN,02/13,Rams,Bengals,1st Quarter,1,Los Angeles Rams,0,1,0,Kickoff from CIN 35,,Kickoff,"— E.McPherson kicks 65 yards from CIN 35 to end zone, Touchback."
2021,Super Bowl,SUN,02/13,Rams,Bengals,1st Quarter,1,Los Angeles Rams,0,2,0,4 Yard Run,1st & 10 at LAR 25,15:00 1st,— C.Akers left tackle to LAR 29 for 4 yards (S.Hubbard).
2021,Super Bowl,SUN,02/13,Rams,Bengals,1st Quarter,1,Los Angeles Rams,0,3,0,7 Yard Pass,2nd & 6 at LAR 29,"14:36 1st No Huddle, Shotgun","— M.Stafford pass short middle to C.Akers to LAR 36 for 7 yards (E.Apple, T.Hendrickson)."
2021,Super Bowl,SUN,02/13,Rams,Bengals,1st Quarter,1,Los Angeles Rams,0,4,0,0 Yard Run,1st & 10 at LAR 36,13:52 1st,— C.Akers left end to LAR 36 for no gain (C.Awuzie).
2021,Super Bowl,SUN,02/13,Rams,Bengals,1st Quarter,1,Los Angeles Rams,0,5,0,-7 Yard Sack,2nd & 10 at LAR 36,13:27 1st Shotgun,— M.Stafford sacked at LAR 29 for -7 yards (T.Hendrickson).
2021,Super Bowl,SUN,02/13,Rams,Bengals,1st Quarter,1,Los Angeles Rams,0,6,0,-3 Yard Run,3rd & 17 at LAR 29,12:43 1st Shotgun,— D.Henderson left end to LAR 26 for -3 yards (B.Hill).
2021,Super Bowl,SUN,02/13,Rams,Bengals,1st Quarter,1,Los Angeles Rams,0,7,0,Punt,4th & 20 at LAR 26,12:04 1st,"— J.Hekker punts 40 yards to CIN 34, Center-M.Orzech. T.Taylor to CIN 42 for 8 yards (M.Hoecht)."
2021,Super Bowl,SUN,02/13,Rams,Bengals,1st Quarter,2,Cincinnati Bengals,0,1,0,8 Yard Pass,1st & 10 at CIN 42,11:54 1st Shotgun,— J.Burrow pass short right to T.Boyd pushed ob at 50 for 8 yards (J.Ramsey).
2021,Super Bowl,SUN,02/13,Rams,Bengals,1st Quarter,2,Cincinnati Bengals,0,2,0,1 Yard Run,2nd & 2 at 50,11:23 1st Shotgun,"— J.Mixon left guard to LAR 49 for 1 yard (A.Robinson, G.Gaines)."
2021,Super Bowl,SUN,02/13,Rams,Bengals,1st Quarter,2,Cincinnati Bengals,0,3,0,0 Yard Run,3rd & 1 at LAR 49,10:39 1st Shotgun,"— S.Perine right guard to LAR 49 for no gain (A.Robinson, G.Gaines)."
2021,Super Bowl,SUN,02/13,Rams,Bengals,1st Quarter,2,Cincinnati Bengals,0,4,0,Pass Incomplete,4th & 1 at LAR 49,10:00 1st Shotgun,— J.Burrow pass incomplete short right to J.Chase (E.Jones).
2021,Super Bowl,SUN,02/13,Rams,Bengals,1st Quarter,3,Los Angeles Rams,1,1,0,-1 Yard Run,1st & 10 at 50,09:57 1st,— C.Akers right guard to LAR 49 for -1 yards (L.Wilson).
2021,Super Bowl,SUN,02/13,Rams,Bengals,1st Quarter,3,Los Angeles Rams,1,2,0,7 Yard Run,2nd & 11 at LAR 49,"09:33 1st No Huddle, Shotgun",— M.Stafford scrambles up the middle to CIN 44 for 7 yards (G.Pratt).
2021,Super Bowl,SUN,02/13,Rams,Bengals,1st Quarter,3,Los Angeles Rams,1,3,0,20 Yard Pass,3rd & 4 at CIN 44,08:46 1st Shotgun,— M.Stafford pass short right to C.Kupp to CIN 24 for 20 yards (G.Pratt).
2021,Super Bowl,SUN,02/13,Rams,Bengals,1st Quarter,3,Los Angeles Rams,1,4,0,4 Yard Run,1st & 10 at CIN 24,07:58 1st,"— D.Henderson left end to CIN 20 for 4 yards (M.Hilton, B.Hill)."
2021,Super Bowl,SUN,02/13,Rams,Bengals,1st Quarter,3,Los Angeles Rams,1,5,0,3 Yard Pass,2nd & 6 at CIN 20,07:13 1st Shotgun,"— M.Stafford pass short left to D.Henderson to CIN 17 for 3 yards (C.Awuzie, K.Kareem)."
2021,Super Bowl,SUN,02/13,Rams,Bengals,1st Quarter,3,Los Angeles Rams,1,6,1,Touchdown,3rd & 3 at CIN 17,06:26 1st Shotgun,"— M.Stafford pass deep right to O.Beckham for 17 yards, TOUCHDOWN."
2021,Super Bowl,SUN,02/13,Rams,Bengals,1st Quarter,3,Los Angeles Rams,1,7,1,Extra Point,,06:22 1st,"— M.Gay extra point is GOOD, Center-M.Orzech, Holder-J.Hekker."
2021,Super Bowl,SUN,02/13,Rams,Bengals,1st Quarter,4,Cincinnati Bengals,0,1,0,Kickoff from LAR 35,,Kickoff,"— M.Gay kicks 65 yards from LAR 35 to end zone, Touchback."
2021,Super Bowl,SUN,02/13,Rams,Bengals,1st Quarter,4,Cincinnati Bengals,0,2,0,0 Yard Pass,1st & 10 at CIN 25,06:22 1st Shotgun,— J.Burrow pass short right to J.Mixon to CIN 25 for no gain (D.Long; T.Reeder).
2021,Super Bowl,SUN,02/13,Rams,Bengals,1st Quarter,4,Cincinnati Bengals,0,3,0,6 Yard Pass,2nd & 10 at CIN 25,05:39 1st Shotgun,— J.Burrow pass short middle to J.Chase to CIN 31 for 6 yards (T.Rapp).
2021,Super Bowl,SUN,02/13,Rams,Bengals,1st Quarter,4,Cincinnati Bengals,0,4,0,Pass Incomplete,3rd & 4 at CIN 31,05:00 1st Shotgun,— J.Burrow pass incomplete deep right to C.Evans.
2021,Super Bowl,SUN,02/13,Rams,Bengals,1st Quarter,4,Cincinnati Bengals,0,5,0,Punt,4th & 4 at CIN 31,04:54 1st,"— K.Huber punts 41 yards to LAR 28, Center-C.Harris, fair catch by B.Powell."
2021,Super Bowl,SUN,02/13,Rams,Bengals,1st Quarter,5,Los Angeles Rams,0,1,0,5 Yard Pass,1st & 10 at LAR 28,04:48 1st,— M.Stafford pass short right to B.Skowronek to LAR 33 for 5 yards (C.Awuzie).
2021,Super Bowl,SUN,02/13,Rams,Bengals,1st Quarter,5,Los Angeles Rams,0,2,0,-5 Yard Penalty,2nd & 5 at LAR 33,04:00 1st Shotgun,"— PENALTY on LAR, Delay of Game, 5 yards, enforced at LAR 33 - No Play."
2021,Super Bowl,SUN,02/13,Rams,Bengals,1st Quarter,5,Los Angeles Rams,0,3,0,3 Yard Run,2nd & 10 at LAR 28,03:34 1st Shotgun,— S.Michel right tackle to LAR 31 for 3 yards (S.Hubbard; G.Pratt).
2021,Super Bowl,SUN,02/13,Rams,Bengals,1st Quarter,5,Los Angeles Rams,0,4,0,4 Yard Pass,3rd & 7 at LAR 31,"03:02 1st No Huddle, Shotgun",— M.Stafford pass short left to V.Jefferson to LAR 35 for 4 yards (C.Awuzie) [S.Hubbard].
2021,Super Bowl,SUN,02/13,Rams,Bengals,1st Quarter,5,Los Angeles Rams,0,5,0,Punt,4th & 3 at LAR 35,02:23 1st,"— J.Hekker punts 55 yards to CIN 10, Center-M.Orzech. T.Taylor to CIN 30 for 20 yards (B.Howell)."
2021,Super Bowl,SUN,02/13,Rams,Bengals,1st Quarter,6,Cincinnati Bengals,1,1,0,13 Yard Run,1st & 10 at CIN 30,02:09 1st,— J.Mixon left tackle to CIN 43 for 13 yards (D.Williams; E.Weddle).
2021,Super Bowl,SUN,02/13,Rams,Bengals,1st Quarter,6,Cincinnati Bengals,1,2,0,46 Yard Pass,1st & 10 at CIN 43,01:32 1st Shotgun,— J.Burrow pass deep right to J.Chase to LAR 11 for 46 yards (J.Ramsey) [E.Jones].
2021,Super Bowl,SUN,02/13,Rams,Bengals,1st Quarter,6,Cincinnati Bengals,1,3,0,Pass Incomplete,1st & 10 at LAR 11,00:42 1st Shotgun,— J.Burrow pass incomplete short left to T.Higgins (V.Miller).
2021,Super Bowl,SUN,02/13,Rams,Bengals,1st Quarter,6,Cincinnati Bengals,1,4,0,Pass Incomplete,2nd & 10 at LAR 11,00:38 1st Shotgun,— J.Burrow pass incomplete short right to J.Mixon.
2021,Super Bowl,SUN,02/13,Rams,Bengals,1st Quarter,6,Cincinnati Bengals,1,5,0,Pass Incomplete,3rd & 10 at LAR 11,00:36 1st Shotgun,— J.Burrow pass incomplete short middle to T.Higgins (J.Ramsey).
2021,Super Bowl,SUN,02/13,Rams,Bengals,1st Quarter,6,Cincinnati Bengals,1,6,1,Field Goal,4th & 10 at LAR 11,00:31 1st,"— E.McPherson 29 yard field goal is GOOD, Center-C.Harris, Holder-K.Huber."
2021,Super Bowl,SUN,02/13,Rams,Bengals,2nd Quarter,1,Los Angeles Rams,1,1,0,Kickoff from CIN 35,,Kickoff,"— E.McPherson kicks 65 yards from CIN 35 to end zone, Touchback."
2021,Super Bowl,SUN,02/13,Rams,Bengals,2nd Quarter,1,Los Angeles Rams,1,2,0,-1 Yard Run,1st & 10 at LAR 25,00:28 1st,— C.Akers up the middle to LAR 24 for -1 yards (V.Bell).
2021,Super Bowl,SUN,02/13,Rams,Bengals,2nd Quarter,1,Los Angeles Rams,1,3,0,Pass Incomplete,2nd & 11 at LAR 24,15:00 2nd Shotgun,— M.Stafford pass incomplete deep middle to C.Kupp [D.Reader].
