Season,Week,Day,Date,AwayTeam,HomeTeam,Quarter,DriveNumber,TeamWithPossession,IsScoringDrive,PlayNumberInDrive,IsScoringPlay,PlayOutcome,PlayStart,PlayTimeFormation,PlayDescription
2022,Wild Card,SAT,01/14,Seahawks,49ers,1st Quarter,1,Seattle Seahawks,0,1,0,Kickoff from SF 35,,Kickoff,— R.Gould kicks 64 yards from SF 35 to SEA 1. G.Igwebuike to SEA 20 for 19 yards (J.Mason; D.Flannigan-Fowles).
2022,Wild Card,SAT,01/14,Seahawks,49ers,1st Quarter,1,Seattle Seahawks,0,2,0,9 Yard Run,1st & 10 at SEA 20,14:56 1st,— K.Walker left end to SEA 29 for 9 yards (T.Hufanga; D.Lenoir).
2022,Wild Card,SAT,01/14,Seahawks,49ers,1st Quarter,1,Seattle Seahawks,0,3,0,-1 Yard Run,2nd & 1 at SEA 29,14:14 1st,— K.Walker left tackle to SEA 28 for -1 yards (J.Kinlaw).
2022,Wild Card,SAT,01/14,Seahawks,49ers,1st Quarter,1,Seattle Seahawks,0,4,0,-10 Yard Sack,3rd & 2 at SEA 28,13:28 1st Shotgun,— G.Smith sacked at SEA 18 for -10 yards (A.Armstead).
2022,Wild Card,SAT,01/14,Seahawks,49ers,1st Quarter,1,Seattle Seahawks,0,5,0,Punt,4th & 12 at SEA 18,12:43 1st,"— M.Dickson punts 46 yards to SF 36, Center-C.Tinker, fair catch by R.McCloud."
2022,Wild Card,SAT,01/14,Seahawks,49ers,1st Quarter,2,San Francisco 49ers,1,1,0,Pass Incomplete,1st & 10 at SF 36,12:35 1st Shotgun,— B.Purdy pass incomplete deep left to D.Samuel.
2022,Wild Card,SAT,01/14,Seahawks,49ers,1st Quarter,2,San Francisco 49ers,1,2,0,19 Yard Pass,2nd & 10 at SF 36,12:29 1st Shotgun,— B.Purdy pass short middle to B.Aiyuk to SEA 45 for 19 yards (T.Woolen). 4 YAC
2022,Wild Card,SAT,01/14,Seahawks,49ers,1st Quarter,2,San Francisco 49ers,1,3,0,22 Yard Run,1st & 10 at SEA 45,11:49 1st,— D.Samuel left end pushed ob at SEA 23 for 22 yards (C.Barton).
2022,Wild Card,SAT,01/14,Seahawks,49ers,1st Quarter,2,San Francisco 49ers,1,4,0,Timeout,,11:12 1st,— Timeout #1 by SF at 11:12.
2022,Wild Card,SAT,01/14,Seahawks,49ers,1st Quarter,2,San Francisco 49ers,1,5,0,Pass Incomplete,1st & 10 at SEA 23,11:12 1st Shotgun,— B.Purdy pass incomplete deep left to J.Jennings (T.Woolen).
