Season,Week,Day,Date,AwayTeam,HomeTeam,Quarter,DriveNumber,TeamWithPossession,IsScoringDrive,PlayNumberInDrive,IsScoringPlay,PlayOutcome,PlayStart,PlayTimeFormation,PlayDescription
2025,Preseason Week 2,FRI,08/15,Titans,Falcons,1st Quarter,1,Atlanta Falcons,0,1,0,Kickoff from TEN 35,,Kickoff,— J.Slye kicks 64 yards from TEN 35 to ATL 1. N.Brooks to ATL 24 for 23 yards (M.Kinsey).
2025,Preseason Week 2,FRI,08/15,Titans,Falcons,1st Quarter,1,Atlanta Falcons,0,2,0,3 Yard Run,1st & 10 at ATL 24,14:53 1st Shotgun,— N.Carter left tackle to ATL 27 for 3 yards (C.Barton).
2025,Preseason Week 2,FRI,08/15,Titans,Falcons,1st Quarter,1,Atlanta Falcons,0,3,0,6 Yard Pass,2nd & 7 at ATL 27,14:21 1st,— E.Stick pass short right to D.Sills pushed ob at ATL 33 for 6 yards (F.Oladejo).
2025,Preseason Week 2,FRI,08/15,Titans,Falcons,1st Quarter,1,Atlanta Falcons,0,4,0,2 Yard Run,3rd & 1 at ATL 33,13:47 1st,— E.Stick up the middle to ATL 35 for 2 yards (C.Gray).
2025,Preseason Week 2,FRI,08/15,Titans,Falcons,1st Quarter,1,Atlanta Falcons,0,5,0,2 Yard Pass,1st & 10 at ATL 35,13:12 1st Shotgun,— E.Stick pass short left to D.Drummond to ATL 37 for 2 yards (C.Barton; X.Woods).
2025,Preseason Week 2,FRI,08/15,Titans,Falcons,1st Quarter,1,Atlanta Falcons,0,6,0,1 Yard Run,2nd & 8 at ATL 37,12:32 1st Shotgun,— N.Carter right guard to ATL 38 for 1 yard (J.Lynch).
2025,Preseason Week 2,FRI,08/15,Titans,Falcons,1st Quarter,1,Atlanta Falcons,0,7,0,7 Yard Pass,3rd & 7 at ATL 38,11:52 1st Shotgun,— E.Stick pass short right to D.Sills ran ob at ATL 45 for 7 yards.
2025,Preseason Week 2,FRI,08/15,Titans,Falcons,1st Quarter,1,Atlanta Falcons,0,8,0,2 Yard Run,1st & 10 at ATL 45,11:12 1st,— N.Carter right tackle to ATL 47 for 2 yards (A.Key; C.Watkins).
2025,Preseason Week 2,FRI,08/15,Titans,Falcons,1st Quarter,1,Atlanta Falcons,0,9,0,-7 Yard Sack,2nd & 8 at ATL 47,10:29 1st Shotgun,— E.Stick sacked at ATL 40 for -7 yards (sack split by C.Gray and C.Watkins).
2025,Preseason Week 2,FRI,08/15,Titans,Falcons,1st Quarter,1,Atlanta Falcons,0,10,0,-1 Yard Pass,3rd & 15 at ATL 40,09:51 1st Shotgun,— E.Stick pass short left to N.Nash to ATL 39 for -1 yards (A.Key).
2025,Preseason Week 2,FRI,08/15,Titans,Falcons,1st Quarter,1,Atlanta Falcons,0,11,0,Punt,4th & 16 at ATL 39,09:11 1st,"— B.Pinion punts 55 yards to TEN 6, Center-L.McCullough, downed by ATL-X.Watts."
2025,Preseason Week 2,FRI,08/15,Titans,Falcons,1st Quarter,2,Tennessee Titans,0,1,0,4 Yard Run,1st & 10 at TEN 6,09:00 1st,— J.Chestnut left tackle to TEN 10 for 4 yards (J.Fuller).
2025,Preseason Week 2,FRI,08/15,Titans,Falcons,1st Quarter,2,Tennessee Titans,0,2,0,35 Yard Pass,2nd & 6 at TEN 10,08:25 1st Shotgun,— C.Ward pass short right to E.Ayomanor pushed ob at TEN 45 for 35 yards (X.Watts).
2025,Preseason Week 2,FRI,08/15,Titans,Falcons,1st Quarter,2,Tennessee Titans,0,3,0,7 Yard Run,1st & 10 at TEN 45,07:46 1st,— K.Mullings left end to ATL 48 for 7 yards (X.Watts).
2025,Preseason Week 2,FRI,08/15,Titans,Falcons,1st Quarter,2,Tennessee Titans,0,4,0,-10 Yard Penalty,2nd & 3 at ATL 48,07:11 1st,"— C.Ward pass incomplete deep right to V.Jefferson. PENALTY on TEN-K.Mullings, Offensive Holding, 10 yards, enforced at ATL 48 - No Play."
2025,Preseason Week 2,FRI,08/15,Titans,Falcons,1st Quarter,2,Tennessee Titans,0,5,0,Pass Incomplete,2nd & 13 at TEN 42,07:02 1st Shotgun,— C.Ward pass incomplete deep right to V.Jefferson.
2025,Preseason Week 2,FRI,08/15,Titans,Falcons,1st Quarter,2,Tennessee Titans,0,6,0,Pass Incomplete,3rd & 13 at TEN 42,06:55 1st Shotgun,— C.Ward pass incomplete short right to C.Dike.
2025,Preseason Week 2,FRI,08/15,Titans,Falcons,1st Quarter,2,Tennessee Titans,0,7,0,Punt,4th & 13 at TEN 42,06:51 1st,"— J.Hekker punts 53 yards to ATL 5, Center-M.Cox. D.Alford to ATL 14 for 9 yards (M.Brown; J.Whyle)."
2025,Preseason Week 2,FRI,08/15,Titans,Falcons,1st Quarter,3,Atlanta Falcons,1,1,0,1 Yard Run,1st & 10 at ATL 14,06:39 1st,— N.Carter left end to ATL 15 for 1 yard (M.Harris).
2025,Preseason Week 2,FRI,08/15,Titans,Falcons,1st Quarter,3,Atlanta Falcons,1,2,0,10 Yard Pass,2nd & 9 at ATL 15,"06:13 1st No Huddle, Shotgun",— E.Stick pass short middle to N.Nash to ATL 25 for 10 yards (C.Gray; K.Brooks).
2025,Preseason Week 2,FRI,08/15,Titans,Falcons,1st Quarter,3,Atlanta Falcons,1,3,0,12 Yard Run,1st & 10 at ATL 25,05:34 1st,— D.Drummond right end to ATL 37 for 12 yards (C.Gray).
2025,Preseason Week 2,FRI,08/15,Titans,Falcons,1st Quarter,3,Atlanta Falcons,1,4,0,8 Yard Run,1st & 10 at ATL 37,04:56 1st,— N.Carter left tackle to ATL 45 for 8 yards (M.Brown).
