Season,Week,Day,Date,AwayTeam,HomeTeam,Quarter,DriveNumber,TeamWithPossession,IsScoringDrive,PlayNumberInDrive,IsScoringPlay,PlayOutcome,PlayDescription,PlayStart
2025,Week 1,THU,09/04,Cowboys,Eagles,1ST QUARTER,1,DAL,1,1,0,Kickoff,"J.Elliott kicks 60 yards from PHI 35 to DAL 5. K.Turpin pushed ob at DAL 32 for 27 yards (K.Granson). PHI-B.VanSumeren was injured during the play. 
PENALTY on PHI-J.Carter, Disqualification, 15 yards, enforced at DAL 32.",Kickoff from PHI 35
2025,Week 1,THU,09/04,Cowboys,Eagles,1ST QUARTER,1,DAL,1,2,0,7 Yard Run,(14:54) J.Williams left tackle to PHI 46 for 7 yards (C.DeJean).,1st & 10 at DAL 47
2025,Week 1,THU,09/04,Cowboys,Eagles,1ST QUARTER,1,DAL,1,3,0,4 Yard Run,(14:22) (Shotgun) K.Turpin right end to PHI 42 for 4 yards (C.DeJean; Z.Baun).,2nd & 3 at PHI 46
2025,Week 1,THU,09/04,Cowboys,Eagles,1ST QUARTER,1,DAL,1,4,0,6 Yard Pass,(13:47) (Shotgun) D.Prescott pass short right to G.Pickens to PHI 36 for 6 yards (Q.Mitchell).,1st & 10 at PHI 42
2025,Week 1,THU,09/04,Cowboys,Eagles,1ST QUARTER,1,DAL,1,5,0,3 Yard Run,(13:04) J.Williams up the middle to PHI 33 for 3 yards (A.Mukuba).,2nd & 4 at PHI 36
2025,Week 1,THU,09/04,Cowboys,Eagles,1ST QUARTER,1,DAL,1,6,0,32 Yard Pass,(12:22) D.Prescott pass deep right to C.Lamb to PHI 1 for 32 yards (A.Jackson).,3rd & 1 at PHI 33
2025,Week 1,THU,09/04,Cowboys,Eagles,1ST QUARTER,1,DAL,1,7,0,Penalty,"(11:56) (No Huddle, Shotgun) D.Prescott pass incomplete short right to C.Lamb.
PENALTY on PHI-A.Jackson, Defensive Pass Interference, 0 yards, enforced at PHI 1 - No Play.",1st & 1 at PHI 1
2025,Week 1,THU,09/04,Cowboys,Eagles,1ST QUARTER,1,DAL,1,8,0,Touchdown Cowboys,"(11:52) J.Williams left guard for 1 yard, TOUCHDOWN.",1st & 1 at PHI 1
2025,Week 1,THU,09/04,Cowboys,Eagles,1ST QUARTER,1,DAL,1,9,1,Extra Point Good,"B.Aubrey extra point is GOOD, Center-T.Sieg, Holder-B.Anger.",XP attempt from PHI 15
2025,Week 1,THU,09/04,Cowboys,Eagles,1ST QUARTER,2,PHI,1,1,0,Kickoff,"B.Aubrey kicks 65 yards from DAL 35 to end zone, Touchback to the PHI 35.
PENALTY on PHI-M.Epps, Illegal Motion, 5 yards, enforced at PHI 35.",Kickoff from DAL 35
2025,Week 1,THU,09/04,Cowboys,Eagles,1ST QUARTER,2,PHI,1,2,0,8 Yard Pass,(11:49) (Shotgun) J.Hurts pass short left to D.Goedert pushed ob at PHI 38 for 8 yards (K.Murray).,1st & 10 at PHI 30
2025,Week 1,THU,09/04,Cowboys,Eagles,1ST QUARTER,2,PHI,1,3,0,3 Yard Run,(11:18) (Shotgun) S.Barkley right guard to PHI 41 for 3 yards (K.Clark).,2nd & 2 at PHI 38
2025,Week 1,THU,09/04,Cowboys,Eagles,1ST QUARTER,2,PHI,1,4,0,7 Yard Run,(10:40) J.Hurts scrambles right tackle to PHI 48 for 7 yards (J.Sanborn).,1st & 10 at PHI 41
2025,Week 1,THU,09/04,Cowboys,Eagles,1ST QUARTER,2,PHI,1,5,0,16 Yard Run,(9:56) S.Barkley left end to DAL 36 for 16 yards (D.Clark; D.Bland).,2nd & 3 at PHI 48
2025,Week 1,THU,09/04,Cowboys,Eagles,1ST QUARTER,2,PHI,1,6,0,6 Yard Pass,(9:09) (Shotgun) J.Hurts pass short middle to D.Goedert to DAL 30 for 6 yards (M.Hooker).,1st & 10 at DAL 36
2025,Week 1,THU,09/04,Cowboys,Eagles,1ST QUARTER,2,PHI,1,7,0,5 Yard Run,"(8:37) (No Huddle, Shotgun) W.Shipley right guard to DAL 25 for 5 yards (D.Clark; K.Murray).",2nd & 4 at DAL 30
2025,Week 1,THU,09/04,Cowboys,Eagles,1ST QUARTER,2,PHI,1,8,0,20 Yard Run,"(8:08) (No Huddle, Shotgun) W.Shipley left end to DAL 5 for 20 yards (M.Hooker; J.Sanborn).",1st & 10 at DAL 25
2025,Week 1,THU,09/04,Cowboys,Eagles,1ST QUARTER,2,PHI,1,9,0,2 Yard Run,(7:23) S.Barkley left tackle to DAL 3 for 2 yards (D.Ezeiruaku).,1st & 5 at DAL 5
2025,Week 1,THU,09/04,Cowboys,Eagles,1ST QUARTER,2,PHI,1,10,0,-1 Yard Run,"(6:41) S.Barkley up the middle to DAL 4 for -1 yards (S.Thomas, K.Murray).",2nd & 3 at DAL 3
2025,Week 1,THU,09/04,Cowboys,Eagles,1ST QUARTER,2,PHI,1,11,0,Touchdown Eagles,"(6:01) (Shotgun) J.Hurts scrambles right end for 4 yards, TOUCHDOWN.",3rd & 4 at DAL 4
2025,Week 1,THU,09/04,Cowboys,Eagles,1ST QUARTER,2,PHI,1,12,1,Extra Point Good,"J.Elliott extra point is GOOD, Center-C.Hughlett, Holder-B.Mann.",XP attempt from DAL 15
2025,Week 1,THU,09/04,Cowboys,Eagles,2ND QUARTER,1,DAL,1,1,0,Kickoff,"J.Elliott kicks 63 yards from PHI 35 to DAL 2. K.Turpin to DAL 24 for 22 yards (J.Uche; J.Trotter).
PENALTY on DAL-M.Liufau, Unnecessary Roughness, 12 yards, enforced at DAL 24.
Penalty on DAL-M.Bell, Unnecessary Roughness, declined.",Kickoff from PHI 35
2025,Week 1,THU,09/04,Cowboys,Eagles,2ND QUARTER,1,DAL,1,2,0,3 Yard Run,(5:48) (Shotgun) J.Williams left guard to DAL 15 for 3 yards (M.Ojomo; Z.Baun).,1st & 10 at DAL 12
2025,Week 1,THU,09/04,Cowboys,Eagles,2ND QUARTER,1,DAL,1,3,0,18 Yard Pass,(5:07) (Shotgun) D.Prescott pass short left to C.Lamb to DAL 33 for 18 yards (R.Blankenship) [M.Ojomo].,2nd & 7 at DAL 15
